Key,English,English Comments,French,French Comments
0_name,Academic,,Académique,
0_effect,"After they use a skill, le user gains __% power.",,"Après avoir lancé une technique, le lanceur gagne __1% de puissance.",
1_name,,,Criblage Argenté,
1_effect,,,Infliger des dégâts à une unité avec 3 attaques ou techniques lui inflige %%1 dégâts supplémentaires,
1.1_name,,,Criblé d'argent,Invisible pour le joueur
1.1_effect,,,L'unité a subi plusieurs attaques,Invisible pour le joueur
2_name,,,Chronokit,
2_effect,,,Les effets de début et de fin de tour s'appliquent une fois supplémentaire. (N),
3_name,,,Détonation,
3_effect,,,"Lorsqu'une unité adverse meurt, elle inflige %%1 dégâts aux unités adjacentes. (P)",
4_name,,,Elysium,
4_effect,,,Confère Curatif aux techniques de l'unité.,
5_name,,,Flux Vital,
5_effect,,,Les soins adverses sont redirigés vers le porteur. (N),
6_name,,,Foi,
6_effect,,,L'unité reçoit un bonus de __1% sur tous les soins qu'elle reçoit (P),
7_name,,,Fragmentation,
7_effect,,,"Lorsque le porteur perd des PV, une unité alliée disposant du même montant de PV est invoquée. (P)",
8_name,,,Frappe Diesel,
8_effect,,,Les attaques de l'unité font des dégâts supplémentaires et appliquent l'élément pyro. (N),
9_name,,,Inspiration,
9_effect,,,"Avant de lancer une technique sur un allié, retire ses états négatifs. (P)",
10_name,,,Nyx,
10_effect,,,"Lorsque l'unité attaque, charge ses autres techniques de 1.",
11_name,,,Requiem,
11_effect,,,"A la fin du tour, inflige %%1 dégâts à toutes les unites adverses. (N)",
12_name,,,Scintillement,
12_effect,,,"Lorsque l'unité utilise une technique, renforce les dégâts de sa prochaine attaque de %%1%. (N)",
13_name,,,,
13_effect,,,"Lorsqu'une des techniques du personnage tue une unité, la puissance surchargée de cette technique augmente définitivement de %%1. (N)",
14_name,,,,
14_effect,,,Augmente le nombre de récompenses de fin de combat de 1. (N),
15_name,,,,
15_effect,,,,
16_name,,,,
16_effect,,,,
17_name,,,,
17_effect,,,,
18_name,,,,
18_effect,,,,
19_name,,,,
19_effect,,,,
20_name,,,,
20_effect,,,,
21_name,,,,
21_effect,,,,
22_name,,,,
22_effect,,,,
23_name,,,,
23_effect,,,,
24_name,,,,
24_effect,,,,
25_name,,,,
25_effect,,,,
26_name,,,,
26_effect,,,,
27_name,,,,
27_effect,,,,
28_name,,,,
28_effect,,,,
29_name,,,,
29_effect,,,,
30_name,,,,
30_effect,,,,
31_name,,,,
31_effect,,,,
32_name,,,,
32_effect,,,,
33_name,,,,
33_effect,,,,
34_name,,,,
34_effect,,,,
35_name,,,,
35_effect,,,,
36_name,,,,
36_effect,,,,
37_name,,,,
37_effect,,,,
38_name,,,,
38_effect,,,,
39_name,,,,
39_effect,,,,
40_name,,,,
40_effect,,,,
41_name,,,,
41_effect,,,,
42_name,,,,
42_effect,,,,
43_name,,,,
43_effect,,,,
44_name,,,,
44_effect,,,,
45_name,,,,
45_effect,,,,
46_name,,,,
46_effect,,,,
47_name,,,,
47_effect,,,,
48_name,,,,
48_effect,,,,
49_name,,,,
49_effect,,,,
50_name,,,,
50_effect,,,,
51_name,,,,
51_effect,,,,
52_name,,,,
52_effect,,,,
53_name,,,,
53_effect,,,,
54_name,,,,
54_effect,,,,
55_name,,,,
55_effect,,,,
56_name,,,,
56_effect,,,,
57_name,,,,
57_effect,,,,
58_name,,,,
58_effect,,,,
59_name,,,,
59_effect,,,,
60_name,,,,
60_effect,,,,
61_name,,,,
61_effect,,,,
62_name,,,,
62_effect,,,,
63_name,,,,
63_effect,,,,
64_name,,,,
64_effect,,,,
65_name,,,,
65_effect,,,,
66_name,,,,
66_effect,,,,
67_name,,,,
67_effect,,,,
68_name,,,,
68_effect,,,,
69_name,,,,
69_effect,,,,
70_name,,,,
70_effect,,,,
71_name,,,,
71_effect,,,,
72_name,,,,
72_effect,,,,
73_name,,,,
73_effect,,,,
74_name,,,,
74_effect,,,,
75_name,,,,
75_effect,,,,
76_name,,,,
76_effect,,,,
77_name,,,,
77_effect,,,,
78_name,,,,
78_effect,,,,
79_name,,,,
79_effect,,,,
80_name,,,,
80_effect,,,,
81_name,,,,
81_effect,,,,
82_name,,,,
82_effect,,,,
83_name,,,,
83_effect,,,,
84_name,,,,
84_effect,,,,
85_name,,,,
85_effect,,,,
86_name,,,,
86_effect,,,,
87_name,,,,
87_effect,,,,
88_name,,,,
88_effect,,,,
89_name,,,,
89_effect,,,,
90_name,,,,
90_effect,,,,
91_name,,,,
91_effect,,,,
92_name,,,,
92_effect,,,,
93_name,,,,
93_effect,,,,
