Key,English,English Comments,French,French Comments
0_name,Robomage,,Robomage,
0_desc,"When he goes for a walk, he likes to practice his fire spells on the surrounding plants. Mild wildfires have been recorded in the areas he walks in.",,"Lors de ses balades, il s'amuse à tester ses sorts de feu sur les plantes environnantes. On répertorie des incendies légers aux alentours de ses zones de promenade.",
1_name,Nuclear Angel,,Ange Nucléaire,
1_desc,Its firepower compete with the top notch human military gear. Its presence is often signaled shortly before a large-scale disaster.,,Sa puissance de feu rivalise avec le matériel militaire humain de pointe. Sa présence est souvent signalée peu avant l'apparition d'une catastrophe de grande envergure.,
2_name,,,,
2_desc,,,,
3_name,,,,
3_desc,,,,
4_name,,,,
4_desc,,,,
5_name,Anasta,,Anasta,
5_desc,,,,
6_name,Jacob,,Jacob,
6_desc,,,,
7_name,Lizz,,Lizz,
7_desc,,,,
8_name,Leo,,Leo,
8_desc,,,,
9_name,,,,
9_desc,,,,
10_name,,,,
10_desc,,,,
11_name,,,,
11_desc,,,,
12_name,,,,
12_desc,,,,
13_name,,,,
13_desc,,,,
14_name,,,,
14_desc,,,,
15_name,,,,
15_desc,,,,
16_name,,,,
16_desc,,,,
17_name,,,,
17_desc,,,,
18_name,,,,
18_desc,,,,
19_name,,,,
19_desc,,,,
20_name,,,,
20_desc,,,,
21_name,,,,
21_desc,,,,
22_name,,,,
22_desc,,,,
23_name,,,,
23_desc,,,,
24_name,,,,
24_desc,,,,
25_name,,,,
25_desc,,,,
26_name,,,,
26_desc,,,,
27_name,,,,
27_desc,,,,
28_name,,,,
28_desc,,,,
29_name,,,,
29_desc,,,,
30_name,,,,
30_desc,,,,
31_name,,,,
31_desc,,,,
32_name,,,,
32_desc,,,,
33_name,,,,
33_desc,,,,
34_name,,,,
34_desc,,,,
35_name,,,,
35_desc,,,,
36_name,,,,
36_desc,,,,
37_name,,,,
37_desc,,,,
38_name,,,,
38_desc,,,,
39_name,,,,
39_desc,,,,
40_name,,,,
40_desc,,,,
41_name,,,,
41_desc,,,,
42_name,,,,
42_desc,,,,
43_name,,,,
43_desc,,,,
44_name,,,,
44_desc,,,,
45_name,,,,
45_desc,,,,
46_name,,,,
46_desc,,,,
47_name,,,,
47_desc,,,,
48_name,,,,
48_desc,,,,
49_name,,,,
49_desc,,,,
50_name,,,,
50_desc,,,,
51_name,,,,
51_desc,,,,
52_name,,,,
52_desc,,,,
53_name,,,,
53_desc,,,,
54_name,,,,
54_desc,,,,
55_name,,,,
55_desc,,,,
56_name,,,,
56_desc,,,,
57_name,,,,
57_desc,,,,
58_name,,,,
58_desc,,,,
59_name,,,,
59_desc,,,,
60_name,,,,
60_desc,,,,
61_name,,,,
61_desc,,,,
62_name,,,,
62_desc,,,,
63_name,,,,
63_desc,,,,
64_name,,,,
64_desc,,,,
65_name,,,,
65_desc,,,,
66_name,,,,
66_desc,,,,
67_name,,,,
67_desc,,,,
68_name,,,,
68_desc,,,,
69_name,,,,
69_desc,,,,
70_name,,,,
70_desc,,,,
71_name,,,,
71_desc,,,,
72_name,,,,
72_desc,,,,
73_name,,,,
73_desc,,,,
74_name,,,,
74_desc,,,,
75_name,,,,
75_desc,,,,
76_name,,,,
76_desc,,,,
77_name,,,,
77_desc,,,,
78_name,,,,
78_desc,,,,
79_name,,,,
79_desc,,,,
80_name,,,,
80_desc,,,,
81_name,,,,
81_desc,,,,
82_name,,,,
82_desc,,,,
83_name,,,,
83_desc,,,,
84_name,,,,
84_desc,,,,
85_name,,,,
85_desc,,,,
86_name,,,,
86_desc,,,,
87_name,,,,
87_desc,,,,
88_name,,,,
88_desc,,,,
89_name,,,,
89_desc,,,,
90_name,,,,
90_desc,,,,
91_name,,,,
91_desc,,,,
92_name,,,,
92_desc,,,,
93_name,,,,
93_desc,,,,
